temp_c,condition,wind_kph,pressure_mb,humidity,feelslike_c,windchill_c,heatindex_c,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,state,city
22.6,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.2,1004.0,58.0,24.7,22.6,24.7,0.0,0.0,0.0,0.0,10.0,6.0,6.8,10.9,Uttar Pradesh,Varanasi
22.3,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.8,1004.0,58.0,24.6,22.3,24.6,0.0,0.0,0.0,0.0,10.0,6.0,7.6,12.2,Uttar Pradesh,Varanasi
22.1,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.2,1004.0,60.0,24.6,22.1,24.6,0.0,0.0,0.0,0.0,10.0,6.0,8.2,13.2,Uttar Pradesh,Varanasi
21.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",6.7,1005.0,62.0,21.8,21.8,24.5,0.0,0.0,0.0,0.0,10.0,6.0,8.8,14.2,Uttar Pradesh,Varanasi
21.6,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.2,1005.0,64.0,21.6,21.6,24.5,0.0,0.0,0.0,0.0,10.0,6.0,9.4,15.1,Uttar Pradesh,Varanasi
23.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.0,1006.0,59.0,25.8,23.7,25.8,0.0,0.0,0.0,0.0,10.0,6.0,7.9,12.7,Uttar Pradesh,Varanasi
25.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.7,1006.0,54.0,27.1,25.7,27.1,0.0,0.0,0.0,0.0,10.0,6.0,6.4,10.3,Uttar Pradesh,Varanasi
27.8,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.5,1006.0,49.0,28.4,27.8,28.4,0.0,0.0,0.0,0.0,10.0,6.0,4.9,7.9,Uttar Pradesh,Varanasi
29.9,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.4,1005.0,47.0,31.2,29.9,31.2,0.0,0.0,0.0,0.0,10.0,6.0,4.8,7.7,Uttar Pradesh,Varanasi
32.1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.2,1005.0,44.0,34.0,32.1,34.0,0.0,0.0,0.0,0.0,10.0,6.0,4.6,7.4,Uttar Pradesh,Varanasi
34.2,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.1,1004.0,41.0,36.8,34.2,36.8,0.0,0.0,0.0,0.0,10.0,6.0,4.5,7.2,Uttar Pradesh,Varanasi
34.4,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.4,1003.0,41.0,37.3,34.4,37.3,0.0,0.0,0.0,0.0,10.0,6.0,4.0,6.4,Uttar Pradesh,Varanasi
34.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.7,1003.0,42.0,37.9,34.7,37.9,0.0,0.0,0.0,0.0,10.0,6.0,3.4,5.5,Uttar Pradesh,Varanasi
34.9,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.0,1002.0,42.0,38.4,34.9,38.4,0.0,0.0,0.0,0.0,10.0,6.0,2.9,4.7,Uttar Pradesh,Varanasi
32.6,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.1,1002.0,46.0,35.4,32.6,35.4,0.0,0.0,0.0,0.0,10.0,6.0,3.8,6.1,Uttar Pradesh,Varanasi
30.4,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",4.2,1003.0,50.0,32.3,30.4,32.3,0.0,0.0,0.0,0.0,10.0,6.0,4.7,7.6,Uttar Pradesh,Varanasi
28.1,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,1003.0,54.0,29.3,28.1,29.3,0.0,0.0,0.0,0.0,10.0,6.0,5.6,9.0,Uttar Pradesh,Varanasi
27.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,1003.0,55.0,28.2,27.0,28.2,0.0,0.0,0.0,0.0,10.0,6.0,5.6,9.0,Uttar Pradesh,Varanasi
26.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,1004.0,57.0,27.2,26.0,27.2,0.0,0.0,0.0,0.0,10.0,6.0,5.6,9.0,Uttar Pradesh,Varanasi
24.9,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,1004.0,58.0,26.1,24.9,26.1,0.0,0.0,0.0,0.0,10.0,6.0,5.6,9.0,Uttar Pradesh,Varanasi
24.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",3.4,1004.0,59.0,26.1,24.8,26.1,0.0,0.0,0.0,0.0,10.0,6.0,4.3,7.0,Uttar Pradesh,Varanasi
24.8,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",2.4,1004.0,60.0,26.0,24.8,26.0,0.0,0.0,0.0,0.0,10.0,6.0,3.1,4.9,Uttar Pradesh,Varanasi
24.5,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.0,1005.0,42.0,25.2,24.5,25.2,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Allahabad
24.1,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.2,1004.0,43.0,25.0,24.1,25.0,0.0,0.0,0.0,0.0,10.0,6.0,5.4,8.8,Uttar Pradesh,Allahabad
23.6,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.4,1004.0,44.0,24.8,23.6,24.8,0.0,0.0,0.0,0.0,10.0,6.0,5.7,9.2,Uttar Pradesh,Allahabad
23.2,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.7,1004.0,45.0,24.6,23.2,24.6,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.7,Uttar Pradesh,Allahabad
23.0,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.8,1005.0,46.0,24.6,23.0,24.6,0.0,0.0,0.0,0.0,10.0,6.0,6.2,10.0,Uttar Pradesh,Allahabad
22.9,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.9,1005.0,47.0,24.5,22.9,24.5,0.0,0.0,0.0,0.0,10.0,6.0,6.3,10.2,Uttar Pradesh,Allahabad
22.7,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",5.0,1005.0,48.0,24.5,22.7,24.5,0.0,0.0,0.0,0.0,10.0,6.0,6.5,10.4,Uttar Pradesh,Allahabad
24.9,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.6,1006.0,43.0,25.9,24.9,25.9,0.0,0.0,0.0,0.0,10.0,6.0,6.0,9.6,Uttar Pradesh,Allahabad
27.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.2,1006.0,39.0,27.2,27.0,27.2,0.0,0.0,0.0,0.0,10.0,6.0,5.4,8.8,Uttar Pradesh,Allahabad
29.2,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.8,1006.0,35.0,28.6,29.2,28.6,0.0,0.0,0.0,0.0,10.0,6.0,4.9,7.9,Uttar Pradesh,Allahabad
31.4,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.2,1006.0,32.0,31.1,31.4,31.1,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Allahabad
33.7,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.6,1005.0,30.0,33.6,33.7,33.6,0.0,0.0,0.0,0.0,10.0,6.0,5.4,8.6,Uttar Pradesh,Allahabad
35.9,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.9,1004.0,28.0,36.1,35.9,36.1,0.0,0.0,0.0,0.0,10.0,6.0,5.6,9.0,Uttar Pradesh,Allahabad
36.0,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.7,1003.0,28.0,36.3,36.0,36.3,0.0,0.0,0.0,0.0,10.0,6.0,5.4,8.8,Uttar Pradesh,Allahabad
36.2,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.4,1003.0,28.0,36.5,36.2,36.5,0.0,0.0,0.0,0.0,10.0,6.0,5.3,8.5,Uttar Pradesh,Allahabad
36.3,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",7.2,1002.0,28.0,36.7,36.3,36.7,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Allahabad
34.1,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",6.2,1002.0,31.0,34.3,34.1,34.3,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Allahabad
31.8,"{'text': 'Sunny', 'icon': '//cdn.weatherapi.com/weather/64x64/day/113.png', 'code': 1000}",5.3,1003.0,35.0,31.8,31.8,31.8,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Allahabad
29.6,"{'text': 'Clear', 'icon': '//cdn.weatherapi.com/weather/64x64/night/113.png', 'code': 1000}",4.3,1003.0,39.0,29.4,29.6,29.4,0.0,0.0,0.0,0.0,10.0,6.0,5.1,8.3,Uttar Pradesh,Allahabad
