temp_c,condition,wind_kph,pressure_mb,humidity,feelslike_c,heatindex_c
24.5,Clear,1.4,1005.0,53.0,25.6,25.6
26.4,Sunny,2.3,1006.0,50.0,27.2,27.2
28.2,Sunny,3.1,1006.0,46.0,28.9,28.9
30.1,Sunny,4.0,1007.0,42.0,30.5,30.5
32.2,Sunny,5.5,1006.0,40.0,33.6,33.6
34.3,Sunny,7.1,1005.0,39.0,36.6,36.6
36.4,Sunny,8.6,1004.0,37.0,39.7,39.7
35.9,Sunny,8.8,1004.0,36.0,38.6,38.6
35.4,Sunny,8.9,1003.0,36.0,37.6,37.6
34.9,Sunny,9.0,1003.0,35.0,36.5,36.5
33.2,Sunny,8.5,1003.0,40.0,34.7,34.7
31.6,Partly cloudy,8.0,1003.0,44.0,32.9,32.9
29.9,Partly cloudy,7.6,1004.0,48.0,31.1,31.1
29.4,Partly cloudy,8.2,1004.0,50.0,30.6,30.6
28.9,Clear,8.8,1005.0,51.0,30.0,30.0
28.4,Clear,9.4,1006.0,52.0,29.5,29.5
28.2,Clear,9.7,1005.0,54.0,29.3,29.3
27.9,Partly cloudy,10.1,1005.0,56.0,29.2,29.2
27.8,Partly cloudy,9.4,1005.0,60.0,29.5,29.5
27.5,Partly cloudy,9.2,1005.0,62.0,29.1,29.1
27.1,Partly cloudy,9.1,1005.0,63.0,28.8,28.8
26.8,Partly cloudy,9.0,1005.0,64.0,28.4,28.4
26.7,Partly cloudy,9.2,1005.0,66.0,28.4,28.4
26.7,Partly cloudy,9.5,1006.0,67.0,28.5,28.5
26.6,Partly cloudy,9.7,1006.0,69.0,28.5,28.5
27.4,Partly cloudy,11.2,1007.0,69.0,29.8,29.8
28.1,Patchy rain possible,12.6,1008.0,69.0,31.2,31.2
28.9,Patchy rain possible,14.0,1009.0,69.0,32.5,32.5
30.3,Patchy rain possible,14.9,1008.0,65.0,34.8,34.8
31.8,Thundery outbreaks possible,15.7,1007.0,61.0,37.0,37.0
33.2,Thundery outbreaks possible,16.6,1006.0,57.0,39.3,39.3
33.1,Thundery outbreaks possible,16.6,1005.0,57.0,39.0,39.0
33.1,Patchy light rain with thunder,16.6,1004.0,56.0,38.8,38.8
33.0,Patchy light rain with thunder,16.6,1003.0,56.0,38.5,38.5
31.8,Patchy light rain with thunder,15.0,1003.0,61.0,36.9,36.9
30.6,Patchy rain possible,13.4,1004.0,66.0,35.4,35.4
29.4,Patchy rain possible,11.9,1004.0,71.0,33.8,33.8
28.4,Patchy rain possible,12.4,1004.0,75.0,32.5,32.5
27.5,Light rain shower,12.8,1005.0,80.0,31.1,31.1
26.5,Light rain shower,13.3,1006.0,84.0,29.8,29.8
26.2,Light rain shower,14.5,1005.0,86.0,29.5,29.5
26.0,Light rain shower,15.7,1004.0,87.0,29.1,29.1
30.7,Partly cloudy,6.1,1005.0,32.0,30.0,30.0
30.5,Partly cloudy,7.3,1005.0,33.0,29.8,29.8
30.2,Partly cloudy,8.5,1005.0,34.0,29.7,29.7
30.0,Partly cloudy,9.7,1005.0,35.0,29.5,29.5
29.7,Partly cloudy,9.8,1006.0,36.0,29.3,29.3
29.4,Partly cloudy,10.0,1007.0,38.0,29.1,29.1
29.1,Partly cloudy,10.1,1008.0,39.0,28.9,28.9
28.2,Partly cloudy,10.6,1008.0,45.0,28.4,28.4
27.4,Partly cloudy,11.0,1009.0,50.0,28.0,28.0
26.5,Partly cloudy,11.5,1010.0,56.0,27.5,27.5
27.5,Partly cloudy,12.1,1009.0,54.0,28.6,28.6
28.6,Partly cloudy,12.7,1009.0,52.0,29.8,29.8
29.6,Partly cloudy,13.3,1008.0,50.0,30.9,30.9
29.1,Partly cloudy,13.1,1008.0,51.0,30.3,30.3
28.6,Partly cloudy,12.8,1007.0,52.0,29.7,29.7
28.1,Partly cloudy,12.6,1007.0,52.0,29.1,29.1
27.6,Partly cloudy,13.4,1007.0,54.0,28.6,28.6
